,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
RP,스기모토,KT,5.31,23,0,1,0,6,0,20 1/3,28,2,4,2,18,17,12,1.57
RP,한승혁,KT,5.03,22,1,1,0,6,0.5,19 2/3,21,2,13,0,27,13,11,1.73
RP,전용주,KT,3.07,20,2,1,0,3,0.667,14 2/3,7,0,14,1,12,5,5,1.43
RP,김민수,KT,4.43,19,2,2,1,2,0.5,20 1/3,18,2,6,1,15,11,10,1.18
RP,손동현,KT,2.95,18,1,0,0,1,1,18 1/3,16,2,8,1,18,6,6,1.31
CP,박영현,KT,2.37,16,2,0,9,0,1,19,13,0,6,0,19,5,5,1
RP,우규민,KT,3.97,14,0,0,0,1,0,11 1/3,15,1,1,1,4,5,5,1.41
RP,주권,KT,3.94,13,1,0,0,0,1,16,16,1,7,0,4,9,7,1.44
SP,고영표,KT,5.23,8,1,4,0,0,0.2,43,51,7,7,4,54,26,25,1.35
SP,보쉴리,KT,3.8,8,5,2,0,0,0.714,45,52,3,14,1,39,19,19,1.47
SP,사우어,KT,4.53,8,2,2,0,0,0.5,45 2/3,42,6,18,4,38,23,23,1.31
SP,오원석,KT,3.89,8,4,2,0,0,0.667,44,45,3,10,0,39,21,19,1.25
SP,소형준,KT,3.69,7,3,0,0,0,1,39,43,2,9,3,37,19,16,1.33
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
RP,김진성,LG,3.5,20,3,0,0,7,1,18,21,3,4,0,11,7,7,1.39
RP,우강훈,LG,4.76,20,0,0,0,9,0,17,14,1,7,3,20,13,9,1.24
RP,장현식,LG,5.5,19,4,2,2,7,0.667,18,19,4,8,1,16,11,11,1.5
RP,함덕주,LG,7.43,17,1,1,1,2,0.5,13 1/3,21,3,6,0,7,11,11,2.03
RP,김영우,LG,3.29,16,1,0,0,2,1,13 2/3,12,1,7,0,12,5,5,1.39
CP,유영찬,LG,0.75,13,0,1,11,0,0,12,4,0,6,0,12,1,1,0.83
RP,이정용,LG,4.58,11,0,0,0,1,0,17 2/3,21,2,7,2,10,12,9,1.58
RP,김진수,LG,3.07,10,2,1,1,0,0,14 2/3,13,2,4,0,11,5,5,1.16
RP,배재준,LG,5.4,10,1,0,0,2,1,10,11,0,8,0,11,6,6,1.9
SP,송승기,LG,4.19,8,2,1,0,0,0.667,38 2/3,41,5,13,0,32,21,18,1.4
SP,임찬규,LG,4.46,8,2,1,0,0,0.667,42 1/3,58,2,12,1,22,22,21,1.65
SP,톨허스트,LG,3.55,8,5,2,0,0,0.714,45 2/3,38,3,15,6,36,18,18,1.16
SP,웰스,LG,2.06,7,2,2,0,0,0.5,39 1/3,28,1,10,0,28,11,9,0.97
SP,치리노스,LG,6.57,6,1,3,0,0,0.25,24 2/3,35,1,10,3,20,19,18,1.82
RP,김유영,LG,1.8,5,0,0,0,0,0,5,3,0,4,0,8,1,1,1.4
RP,박시원,LG,5.06,5,0,1,0,0,0,5 1/3,6,0,3,1,0,4,3,1.69
RP,성동현,LG,6.75,4,0,0,0,0,0,4,4,1,2,1,3,4,3,1.5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
RP,배찬승,삼성,2.25,21,2,0,0,3,1,16,13,3,15,0,11,5,4,1.75
RP,이승민,삼성,1.71,20,1,0,0,6,1,21,12,0,14,0,13,6,4,1.24
RP,미야지,삼성,6.6,19,0,1,0,3,0,15,11,3,12,4,10,11,11,1.53
RP,이승현,삼성,6.14,19,3,1,1,2,0.75,14 2/3,21,2,7,0,11,10,10,1.91
CP,김재윤,삼성,2.81,18,2,2,8,0,0.5,16,11,2,9,1,17,5,5,1.25
RP,백정현,삼성,5.11,13,2,0,0,3,1,12 1/3,10,2,4,0,6,7,7,1.14
RP,임기영,삼성,2.6,12,0,0,0,1,0,17 1/3,17,3,4,1,9,5,5,1.21
RP,장찬희,삼성,3.38,10,3,2,0,0,0.6,26 2/3,24,3,14,0,17,11,10,1.43
SP,후라도,삼성,2.33,9,2,1,0,0,0.667,58,54,6,8,1,41,16,15,1.07
RP,김태훈,삼성,2.25,8,1,1,0,1,0.5,8,3,1,3,1,4,5,2,0.75
SP,오러클린,삼성,3.38,8,2,2,0,0,0.5,40,31,1,17,6,40,15,15,1.2
RP,최지광,삼성,4.26,8,1,0,1,1,1,6 1/3,7,0,3,2,6,5,3,1.58
